::ffff:127.0.0.1 - - [11/Oct/2016:09:31:09 +0000] "GET /style.css.map HTTP/1.1" 304 - "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:31:09 +0000] "GET /bundle.js.map HTTP/1.1" 304 - "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:31:19 +0000] "GET /contact HTTP/1.1" 500 22 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:47 +0000] "GET /contact HTTP/1.1" 303 49 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:47 +0000] "GET /contact/ HTTP/1.1" 200 650 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /style.css HTTP/1.1" 303 53 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /contact/style.css HTTP/1.1" 303 69 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /contact/bundle.js HTTP/1.1" 303 69 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /bundle.js HTTP/1.1" 303 53 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /style.css/ HTTP/1.1" 200 650 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /contact/style.css/ HTTP/1.1" 200 650 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /contact/bundle.js/ HTTP/1.1" 200 650 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:48 +0000] "GET /bundle.js/ HTTP/1.1" 200 650 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:54 +0000] "GET /contact HTTP/1.1" 303 49 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:54 +0000] "GET /contact/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:54 +0000] "GET /style.css HTTP/1.1" 303 53 "http://localhost:3001/contact/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
